msa_name,airports,pop_2021,pop_2022,pop_2023,pop_2024
"New York-Newark-Jersey City",JFK|EWR|LGA,19768458,19862512,19910983,19980000
"Los Angeles-Long Beach-Anaheim",LAX|SNA|ONT|BUR,13200998,13150000,13100000,13060000
"Chicago-Naperville-Elgin",ORD|MDW,9618502,9560000,9510000,9470000
"Dallas-Fort Worth-Arlington",DFW|DAL,7694730,7850000,7970000,8100000
"Houston-The Woodlands-Sugar Land",IAH|HOU,7122240,7200000,7290000,7380000
"Washington-Arlington-Alexandria",DCA|IAD|BWI,6356434,6380000,6400000,6420000
"Miami-Fort Lauderdale-Pompano Beach",MIA|FLL|PBI,6138333,6180000,6220000,6270000
"Philadelphia-Camden-Wilmington",PHL,6245051,6240000,6235000,6230000
"Atlanta-Sandy Springs-Roswell",ATL,6144050,6250000,6350000,6450000
"Boston-Cambridge-Newton",BOS,4941632,4950000,4960000,4970000
"Phoenix-Mesa-Chandler",PHX,4946145,5050000,5150000,5260000
"San Francisco-Oakland-Berkeley",SFO|OAK,4623264,4580000,4560000,4550000
"Seattle-Tacoma-Bellevue",SEA,4011553,4060000,4100000,4150000
"Minneapolis-St. Paul-Bloomington",MSP,3690261,3710000,3730000,3750000
"San Diego-Chula Vista-Carlsbad",SAN,3286069,3300000,3310000,3320000
"Denver-Aurora-Lakewood",DEN,2963821,2990000,3020000,3050000
"St. Louis",STL,2820253,2810000,2800000,2790000
"Orlando-Kissimmee-Sanford",MCO,2673376,2740000,2800000,2870000
"Tampa-St. Petersburg-Clearwater",TPA,3175275,3230000,3280000,3340000
"Charlotte-Concord-Gastonia",CLT,2660329,2720000,2770000,2830000
"Portland-Vancouver-Hillsboro",PDX,2512859,2520000,2530000,2540000
"Sacramento-Roseville-Folsom",SMF,2363730,2380000,2400000,2420000
"Las Vegas-Henderson-Paradise",LAS,2265461,2310000,2360000,2410000
"Austin-Round Rock-Georgetown",AUS,2283371,2360000,2430000,2510000
"Nashville-Davidson-Murfreesboro-Franklin",BNA,1989519,2050000,2100000,2160000
"Salt Lake City",SLC,1232696,1250000,1270000,1290000
"Raleigh-Cary",RDU,1413982,1450000,1480000,1520000
"Indianapolis-Carmel-Anderson",IND,2111040,2120000,2130000,2140000
"Kansas City",MCI,2192262,2200000,2210000,2220000
"Columbus",CMH,2138926,2160000,2180000,2200000
"Cleveland-Elyria",CLE,2088251,2075000,2065000,2055000
"San Antonio-New Braunfels",SAT,2558143,2590000,2620000,2650000
"Pittsburgh",PIT,2370930,2355000,2340000,2325000
"Cincinnati",CVG,2256884,2260000,2265000,2270000
"New Orleans-Metairie",MSY,1271651,1280000,1290000,1300000
"Jacksonville",JAX,1605848,1640000,1670000,1710000
"Oklahoma City",OKC,1425148,1440000,1450000,1465000
"Milwaukee-Waukesha",MKE,1574731,1570000,1565000,1560000
"Providence-Warwick",PVD,1677803,1680000,1680000,1681000
"Hartford-East Hartford-Middletown",BDL,1213531,1210000,1207000,1205000
"Anchorage",ANC,396317,394000,392000,390000
"Honolulu",HNL,1016508,1012000,1010000,1008000
"Boise City",BOI,806610,825000,845000,865000
"San Jose-Sunnyvale-Santa Clara",SJC,2000468,1990000,1985000,1980000
"Fort Myers-Cape Coral",RSW,770577,795000,820000,845000
"Albuquerque",ABQ,916604,920000,923000,926000
"Reno-Sparks",RNO,490486,500000,510000,520000
"Omaha-Council Bluffs",OMA,967604,975000,983000,991000
"Detroit-Warren-Dearborn",DTW,4392041,4380000,4370000,4360000
"Tucson",TUS,1043433,1050000,1058000,1066000
"El Paso",ELP,868859,872000,875000,878000
"Spokane-Spokane Valley",GEG,573493,580000,587000,594000
"Knoxville",TYS,886981,895000,903000,912000
"Charleston-North Charleston",CHS,802122,825000,848000,872000
"Savannah",SAV,404798,415000,426000,437000
"Richmond",RIC,1314434,1325000,1335000,1346000
"Buffalo-Cheektowaga",BUF,1166902,1160000,1155000,1150000
"Colorado Springs",COS,755105,770000,785000,800000
"Des Moines-West Des Moines",DSM,699292,705000,711000,717000
"Bozeman",BZN,118960,124000,130000,136000
